ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
17,3,8B,single,llama3.1:8b,12.149,0.153,3.256,3.113,5.627,2627,136,43.69,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,3,8B,single,llama3.1:8b,11.166,0.159,2.693,3.174,5.140,2120,130,40.96,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,3,8B,single,llama3.1:8b,11.563,0.140,2.838,3.486,5.099,2319,134,38.44,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,3,8B,single,llama3.1:8b,9.784,0.147,2.262,2.584,4.791,1911,115,44.50,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,3,8B,single,llama3.1:8b,15.237,0.143,3.018,5.019,7.056,2295,188,37.46,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,3,8B,single,llama3.1:8b,10.344,0.149,2.758,2.993,4.445,2265,116,38.76,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,3,8B,single,llama3.1:8b,11.978,0.144,2.308,3.745,5.781,1958,149,39.78,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,3,8B,single,llama3.1:8b,12.365,0.148,2.567,3.608,6.042,1997,148,41.02,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,3,8B,single,llama3.1:8b,10.736,0.142,2.230,3.536,4.828,1845,129,36.48,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,3,8B,single,llama3.1:8b,16.544,0.150,2.847,5.523,8.024,2310,207,37.48,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,3,8B,single,llama3.1:8b,11.205,0.133,2.819,3.154,5.100,2232,129,40.90,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,3,8B,single,llama3.1:8b,12.269,0.143,3.674,3.037,5.415,2939,131,43.13,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,3,8B,single,llama3.1:8b,10.077,0.158,2.374,3.079,4.466,1990,118,38.33,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,3,8B,single,llama3.1:8b,12.070,0.150,2.640,3.768,5.512,2096,145,38.48,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,3,8B,single,llama3.1:8b,10.092,0.148,2.748,2.796,4.400,2111,112,40.06,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,3,8B,single,llama3.1:8b,11.639,0.142,2.362,3.784,5.352,1979,142,37.53,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,3,8B,single,llama3.1:8b,12.015,0.132,2.369,3.786,5.728,1984,148,39.09,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,3,8B,single,llama3.1:8b,11.865,0.139,2.954,3.449,5.324,2312,136,39.43,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,3,8B,single,llama3.1:8b,13.211,0.135,2.288,4.286,6.502,1922,168,39.20,How can frequency planning address interference between satellite uplinks and broadband power line c
36,3,8B,single,llama3.1:8b,12.772,0.148,3.151,3.832,5.642,2559,147,38.37,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,3,8B,single,llama3.1:8b,10.246,0.140,2.808,2.803,4.495,2196,114,40.67,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,3,8B,single,llama3.1:8b,9.953,0.140,2.111,2.627,5.074,1779,120,45.67,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,3,8B,single,llama3.1:8b,11.685,0.147,3.514,3.209,4.815,2809,124,38.64,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,3,8B,single,llama3.1:8b,14.156,0.136,2.640,4.540,6.840,2037,177,38.99,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,3,8B,single,llama3.1:8b,12.141,0.152,2.532,3.651,5.806,2098,147,40.26,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,3,8B,single,llama3.1:8b,10.311,0.148,2.230,3.129,4.804,1875,124,39.63,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,3,8B,single,llama3.1:8b,11.695,0.131,2.999,3.308,5.257,2329,133,40.20,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,3,8B,single,llama3.1:8b,11.018,0.146,2.581,3.314,4.977,2144,129,38.93,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,3,8B,single,llama3.1:8b,7.760,0.145,2.154,2.242,3.218,1826,85,37.90,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,3,8B,single,llama3.1:8b,12.681,0.147,2.483,4.038,6.013,1905,156,38.63,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,3,8B,single,llama3.1:8b,14.629,0.149,2.635,4.646,7.199,2182,183,39.39,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,3,8B,single,llama3.1:8b,11.616,0.147,1.906,3.873,5.691,1620,149,38.48,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,3,8B,single,llama3.1:8b,9.828,0.146,2.444,2.941,4.296,1897,113,38.42,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,3,8B,single,llama3.1:8b,9.970,0.143,2.046,3.032,4.749,1731,121,39.91,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
