ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
32,1,2B,single,gemma2:2b,11.926,0.147,0.990,2.301,8.488,2066,126,54.77,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,1,2B,single,gemma2:2b,9.204,0.155,0.806,1.862,6.381,2112,103,55.32,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,1,2B,single,gemma2:2b,10.535,0.149,0.981,2.001,7.404,2509,110,54.97,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,1,2B,single,gemma2:2b,18.468,0.153,0.968,3.700,13.646,2131,203,54.87,How can frequency planning address interference between satellite uplinks and broadband power line c
36,1,2B,single,gemma2:2b,11.217,0.150,1.105,2.121,7.841,2767,116,54.69,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,1,2B,single,gemma2:2b,8.293,0.148,0.909,1.598,5.638,2335,83,51.95,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,1,2B,single,gemma2:2b,11.792,0.151,0.854,2.314,8.473,1912,126,54.45,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,1,2B,single,gemma2:2b,15.857,0.170,1.238,3.008,11.441,3017,168,55.86,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,1,2B,single,gemma2:2b,13.939,0.153,0.853,2.830,10.103,2224,148,52.30,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,1,2B,single,gemma2:2b,15.027,0.142,1.014,3.015,10.855,2292,163,54.06,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,1,2B,single,gemma2:2b,8.126,0.143,0.778,1.483,5.721,2037,85,57.31,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,1,2B,single,gemma2:2b,10.126,0.145,0.989,1.918,7.073,2533,105,54.75,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,1,2B,single,gemma2:2b,10.656,0.155,1.085,2.027,7.389,2337,111,54.75,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,1,2B,single,gemma2:2b,10.237,0.144,0.785,1.997,7.311,2038,110,55.07,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,1,2B,single,gemma2:2b,10.780,0.161,0.771,2.181,7.668,2041,116,53.18,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,1,2B,single,gemma2:2b,14.298,0.158,1.056,2.791,10.293,2390,153,54.81,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,1,2B,single,gemma2:2b,13.442,0.141,0.677,2.715,9.910,1801,149,54.89,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,1,2B,single,gemma2:2b,13.148,0.140,0.782,2.637,9.588,2060,141,53.47,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,1,2B,single,gemma2:2b,10.564,0.147,0.813,2.061,7.544,1880,114,55.32,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
