ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
34,1,8B,single,llama3.1:8b,11.719,0.144,2.915,3.300,5.360,2312,133,40.31,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,1,8B,single,llama3.1:8b,14.674,0.153,2.291,4.960,7.270,1922,190,38.31,How can frequency planning address interference between satellite uplinks and broadband power line c
36,1,8B,single,llama3.1:8b,12.116,0.143,3.151,3.347,5.475,2559,137,40.93,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,1,8B,single,llama3.1:8b,11.546,0.148,2.771,3.395,5.232,2196,134,39.47,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,1,8B,single,llama3.1:8b,9.623,0.150,2.123,2.792,4.557,1779,115,41.18,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,1,8B,single,llama3.1:8b,12.740,0.154,3.502,3.558,5.527,2809,141,39.63,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,1,8B,single,llama3.1:8b,11.483,0.155,2.592,3.665,5.071,2037,136,37.11,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,1,8B,single,llama3.1:8b,11.515,0.147,2.518,3.656,5.195,2098,138,37.75,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,1,8B,single,llama3.1:8b,10.823,0.151,2.229,3.200,5.242,1875,132,41.25,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,1,8B,single,llama3.1:8b,17.012,0.154,3.004,5.340,8.514,2329,215,40.26,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,1,8B,single,llama3.1:8b,11.133,0.146,2.573,3.349,5.065,2144,131,39.11,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,1,8B,single,llama3.1:8b,9.425,0.158,2.153,2.824,4.290,1826,111,39.30,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,1,8B,single,llama3.1:8b,10.664,0.145,2.386,3.260,4.872,1905,127,38.95,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,1,8B,single,llama3.1:8b,12.418,0.159,2.639,3.309,6.311,2182,150,45.34,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,1,8B,single,llama3.1:8b,9.927,0.149,1.904,2.774,5.100,1620,123,44.34,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,1,8B,single,llama3.1:8b,12.055,0.154,2.390,3.383,6.129,1897,148,43.75,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,1,8B,single,llama3.1:8b,10.308,0.140,2.049,3.362,4.757,1731,127,37.77,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
