ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
31,3,2B,single,gemma2:2b,11.492,0.155,0.856,2.262,8.220,2218,124,54.83,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,3,2B,single,gemma2:2b,9.341,0.149,0.886,1.859,6.447,2066,98,52.71,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,3,2B,single,gemma2:2b,11.926,0.147,0.808,2.414,8.557,2112,130,53.85,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,3,2B,single,gemma2:2b,9.399,0.151,0.991,1.725,6.532,2509,98,56.80,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,3,2B,single,gemma2:2b,11.237,0.146,0.988,2.102,8.001,2131,120,57.09,How can frequency planning address interference between satellite uplinks and broadband power line c
36,3,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0.000,0,0,0.00,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,3,2B,single,gemma2:2b,12.585,0.131,0.910,2.527,9.016,2335,136,53.81,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,3,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0.000,0,0,0.00,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,3,2B,single,gemma2:2b,17.822,0.149,1.233,3.522,12.918,3017,193,54.80,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,3,2B,single,gemma2:2b,12.074,0.148,0.862,2.449,8.615,2224,128,52.26,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,3,2B,single,gemma2:2b,0.000,0.000,0.000,0.000,0.000,0,0,0.00,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,3,2B,single,gemma2:2b,11.489,0.137,0.771,2.283,8.298,2037,125,54.76,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,3,2B,single,gemma2:2b,10.693,0.146,0.991,2.103,7.452,2533,113,53.73,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,3,2B,single,gemma2:2b,9.318,0.140,1.103,1.772,6.303,2337,96,54.17,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,3,2B,single,gemma2:2b,11.785,0.141,0.767,2.463,8.414,2038,129,52.38,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,3,2B,single,gemma2:2b,11.954,0.142,0.778,2.433,8.602,2041,131,53.84,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,3,2B,single,gemma2:2b,17.196,0.141,1.057,3.488,12.510,2390,189,54.19,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,3,2B,single,gemma2:2b,7.703,0.141,0.681,1.534,5.347,1801,83,54.11,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,3,2B,single,gemma2:2b,6.413,0.147,0.786,1.221,4.259,2060,66,54.05,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,3,2B,single,gemma2:2b,13.424,0.147,0.905,2.683,9.689,1880,147,54.79,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
