ID,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
25,8B,heterogeneo,PNM,84.226,4.228,26.574,31.412,23577,1722,55.94,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,8B,heterogeneo,PNM,85.189,1.481,29.980,33.556,26227,1812,55.39,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,8B,heterogeneo,PNM,103.985,1.483,34.545,42.206,29919,2235,55.52,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,8B,heterogeneo,PNM,93.362,1.442,32.437,37.880,28033,2063,55.88,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,8B,heterogeneo,PNM,91.386,1.481,29.902,35.183,26078,1939,56.10,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,8B,heterogeneo,PNM,112.568,1.537,45.667,41.281,37985,2204,55.39,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,8B,heterogeneo,PNM,92.362,1.568,31.028,37.763,26446,2030,57.65,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,8B,heterogeneo,PNM,79.510,1.340,28.406,31.023,24556,1655,57.50,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,8B,heterogeneo,PNM,88.269,1.370,28.072,36.437,24412,1988,56.54,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,8B,heterogeneo,PNM,96.230,1.381,29.790,41.554,26043,2261,56.70,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,8B,heterogeneo,PNM,96.660,1.332,31.172,42.271,26711,2264,56.23,How can frequency planning address interference between satellite uplinks and broadband power line c
36,8B,heterogeneo,PNM,93.492,1.372,31.799,37.853,27656,2017,55.67,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,8B,heterogeneo,PNM,106.527,23.933,28.948,34.244,24992,1809,57.00,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,8B,heterogeneo,PNM,83.606,1.329,26.892,35.986,23326,1905,55.88,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,8B,heterogeneo,PNM,87.909,1.328,29.193,35.687,25404,1954,57.35,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,8B,heterogeneo,PNM,92.302,1.320,32.452,36.799,27947,1953,55.67,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,8B,heterogeneo,PNM,106.322,1.366,35.102,46.635,29689,2416,56.78,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,8B,heterogeneo,PNM,87.956,1.331,31.370,35.457,26540,1941,56.19,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,8B,heterogeneo,PNM,90.486,1.333,32.045,37.404,27125,1967,56.79,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,8B,heterogeneo,PNM,77.516,1.325,28.511,30.628,24589,1644,59.68,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,8B,heterogeneo,PNM,96.318,1.373,33.658,39.144,28687,2131,56.79,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,8B,heterogeneo,PNM,92.042,1.332,30.671,37.252,26189,2005,58.45,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,8B,heterogeneo,PNM,120.076,1.317,37.624,51.471,31791,2796,56.63,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,8B,heterogeneo,PNM,126.744,1.320,36.263,58.443,30687,3159,56.20,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,8B,heterogeneo,PNM,100.339,1.340,33.416,40.707,28323,2197,59.04,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,8B,heterogeneo,PNM,111.081,1.309,33.502,49.031,28503,2657,56.84,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
