ID,Rep,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,TPS,Topic
16,2,2B,single,gemma2:2b,12.457,0.144,0.881,2.422,9.010,1944,133,54.92,What antenna design considerations optimize ground station visibility during short service windows i
17,2,2B,single,gemma2:2b,10.377,0.158,1.149,1.949,7.120,2844,106,54.39,How are link budgets affected when prioritizing high-revenue services versus navigation safety margi
18,2,2B,single,gemma2:2b,8.484,0.149,0.877,1.644,5.814,2284,89,54.14,What frequency planning challenges arise when coordinating multiple ground stations with overlapping
19,2,2B,single,gemma2:2b,10.858,0.142,1.132,2.017,7.567,2530,110,54.52,How do on-board storage constraints influence payload power allocation between immediate and time-ta
20,2,2B,single,gemma2:2b,11.692,0.143,0.769,2.270,8.510,2030,124,54.63,What beam switching strategies minimize setup times while maintaining spectrum efficiency for multi-
21,2,2B,single,gemma2:2b,11.777,0.150,0.986,2.340,8.300,2505,123,52.57,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,2,2B,single,gemma2:2b,12.344,0.149,1.160,2.349,8.686,2461,128,54.49,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,2,2B,single,gemma2:2b,16.571,0.148,0.827,3.398,12.198,2134,180,52.97,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,2,2B,single,gemma2:2b,13.975,0.136,0.816,2.785,10.237,2121,146,52.43,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,2,2B,single,gemma2:2b,10.703,0.145,0.863,2.173,7.522,2027,113,51.99,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,2,2B,single,gemma2:2b,11.960,0.145,0.979,2.263,8.573,2498,125,55.24,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,2,2B,single,gemma2:2b,5.746,0.149,0.918,1.029,3.649,2392,55,53.44,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,2,2B,single,gemma2:2b,11.124,0.155,1.424,1.977,7.567,3104,110,55.64,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,2,2B,single,gemma2:2b,7.741,0.147,0.794,1.494,5.306,2091,80,53.56,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,2,2B,single,gemma2:2b,9.280,0.154,0.869,1.722,6.535,2246,96,55.75,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2,2B,single,gemma2:2b,12.155,0.149,0.845,2.408,8.753,2218,132,54.81,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2,2B,single,gemma2:2b,12.143,0.156,0.907,2.398,8.681,2066,131,54.63,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2,2B,single,gemma2:2b,12.129,0.152,0.809,2.433,8.734,2112,132,54.25,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2,2B,single,gemma2:2b,12.291,0.154,0.982,2.454,8.701,2509,130,52.97,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2,2B,single,gemma2:2b,12.263,0.143,0.915,2.387,8.818,2131,132,55.31,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2,2B,single,gemma2:2b,18.735,0.139,1.113,3.816,13.666,2767,206,53.98,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2,2B,single,gemma2:2b,12.123,0.145,0.914,2.489,8.576,2335,126,50.63,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2,2B,single,gemma2:2b,10.905,0.142,0.925,2.117,7.722,1912,117,55.28,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2,2B,single,gemma2:2b,14.250,0.149,1.228,2.587,10.286,3017,149,57.59,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2,2B,single,gemma2:2b,8.446,0.130,0.859,1.638,5.819,2224,90,54.93,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2,2B,single,gemma2:2b,9.680,0.153,1.001,1.764,6.762,2292,101,57.24,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2,2B,single,gemma2:2b,5.178,0.149,0.781,0.930,3.317,2037,51,54.82,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2,2B,single,gemma2:2b,11.649,0.148,1.003,2.318,8.180,2533,124,53.51,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2,2B,single,gemma2:2b,10.505,0.150,1.027,1.973,7.354,2337,110,55.76,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2,2B,single,gemma2:2b,11.661,0.136,0.774,2.296,8.456,2038,127,55.31,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,2,2B,single,gemma2:2b,12.572,0.142,0.777,2.572,9.080,2041,138,53.65,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,2,2B,single,gemma2:2b,11.884,0.160,1.081,2.203,8.440,2390,126,57.19,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,2,2B,single,gemma2:2b,11.588,0.136,0.676,2.309,8.466,1801,128,55.44,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,2,2B,single,gemma2:2b,11.671,0.140,0.776,2.401,8.354,2060,127,52.90,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,2,2B,single,gemma2:2b,10.541,0.153,0.844,2.002,7.543,1880,113,56.44,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
