ID,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,TPS,Topic
19,8B,single,llama3.1:8b,10.543,0.155,1.478,2.536,1318,150,59.15,How do on-board storage constraints influence payload power allocation between immediate and time-ta
21,8B,single,llama3.1:8b,11.016,0.135,1.361,2.584,1165,160,61.92,How does transponder allocation balance network efficiency against thermal/power constraints during 
22,8B,single,llama3.1:8b,11.078,0.136,1.224,2.834,1098,163,57.51,What interference mitigation techniques are viable for overlapping service transmissions across geog
23,8B,single,llama3.1:8b,12.389,0.151,1.220,3.002,1100,184,61.30,How does the dual-mode operation of the CTS antenna impact frequency reuse and coverage patterns in 
24,8B,single,llama3.1:8b,12.156,0.148,1.307,3.456,1175,178,51.51,What are the trade-offs in using additive manufacturing for CTS array fabrication versus traditional
25,8B,single,llama3.1:8b,9.323,0.141,1.434,2.851,1179,129,45.24,How does the 11.6% bandwidth of the CTS antenna influence frequency planning and spectral efficiency
26,8B,single,llama3.1:8b,11.638,0.138,1.449,2.890,1298,170,58.83,How does the 45° scan range affect link budget calculations for edge-of-coverage users compared to b
27,8B,single,llama3.1:8b,11.250,0.135,1.681,2.720,1519,159,58.46,What power allocation trade-offs arise from differing scan losses between quasi-TEM and quasi-TE1 mo
28,8B,single,llama3.1:8b,10.859,0.135,1.542,2.719,1368,154,56.63,How does defocused reflector gain loss impact link budget margins for SNR compared to conventional d
29,8B,single,llama3.1:8b,11.439,0.152,1.429,2.959,1199,164,55.43,What trade-offs exist between reflector aperture size and feed element redundancy in robust antenna 
30,8B,single,llama3.1:8b,12.706,0.138,2.818,2.846,2358,164,57.62,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,8B,single,llama3.1:8b,11.319,0.136,1.545,2.822,1358,163,57.75,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,8B,single,llama3.1:8b,11.333,0.144,2.115,2.498,1774,151,60.46,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,8B,single,llama3.1:8b,9.287,0.138,1.220,2.547,1093,133,52.21,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,8B,single,llama3.1:8b,10.741,0.137,1.305,2.996,1169,155,51.73,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,8B,single,llama3.1:8b,9.193,0.169,1.397,2.794,1275,127,45.45,How can frequency planning address interference between satellite uplinks and broadband power line c
36,8B,single,llama3.1:8b,9.795,0.139,1.575,2.248,1395,137,60.94,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,8B,single,llama3.1:8b,9.168,0.148,1.380,2.132,1260,129,60.51,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,8B,single,llama3.1:8b,10.469,0.155,1.156,2.378,1055,154,64.76,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,8B,single,llama3.1:8b,13.102,0.145,1.757,3.714,1522,186,50.08,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,8B,single,llama3.1:8b,11.899,0.156,1.703,3.155,1440,167,52.93,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,8B,single,llama3.1:8b,10.814,0.158,1.475,2.312,1324,155,67.03,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,8B,single,llama3.1:8b,10.469,0.131,1.519,3.143,1338,147,46.78,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,8B,single,llama3.1:8b,11.034,0.142,1.458,3.597,1302,157,43.65,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,8B,single,llama3.1:8b,10.537,0.145,1.579,3.333,1326,146,43.81,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,8B,single,llama3.1:8b,8.592,0.140,1.511,1.994,1346,117,58.67,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,8B,single,llama3.1:8b,9.088,0.153,1.389,1.958,1230,128,65.38,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,8B,single,llama3.1:8b,11.199,0.127,1.053,2.782,965,168,60.39,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,8B,single,llama3.1:8b,11.162,0.144,1.355,3.641,1133,161,44.21,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,8B,single,llama3.1:8b,12.868,0.146,1.579,4.156,1411,184,44.28,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,8B,single,llama3.1:8b,12.951,0.141,1.482,2.934,1321,191,65.11,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
