ID,Size,Mode,Model,Total_S,Load_S,Prompt_S,Gen_S,Tokens_In,Tokens_Out,TPS,Topic
39,2B,single,gemma2:2b,18.477,0.146,0.550,3.180,1613,190,59.75,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2B,single,gemma2:2b,19.296,0.145,0.604,2.878,1533,204,70.89,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2B,single,gemma2:2b,11.953,0.145,0.466,1.798,1425,125,69.52,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2B,single,gemma2:2b,11.769,0.157,0.563,2.254,1451,121,53.68,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2B,single,gemma2:2b,14.176,0.136,0.432,2.706,1373,145,53.59,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2B,single,gemma2:2b,15.181,0.148,0.444,2.325,1401,157,67.53,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2B,single,gemma2:2b,11.114,0.146,0.565,1.893,1458,114,60.24,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,2B,single,gemma2:2b,17.607,0.130,0.416,3.049,1294,190,62.32,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,2B,single,gemma2:2b,13.773,0.141,0.332,2.547,1035,145,56.93,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,2B,single,gemma2:2b,17.443,0.152,0.430,3.520,1215,183,51.99,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,2B,single,gemma2:2b,12.724,0.139,0.472,1.889,1462,139,73.58,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,2B,single,gemma2:2b,12.188,0.139,0.429,1.986,1366,132,66.46,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
