ID,Rep,Size,Mode,Winner,Total_S,Load_S,Prompt_S,Gen_S,Overhead_S,Tokens_In,Tokens_Out,Avg_TPS,Topic
30,2,8B,heterogeneo,DLB,128.509,1.358,44.333,54.812,28.000,36272,2774,52.64,How does defocused feed array placement optimize coverage versus scan loss in DBF architectures?
31,2,8B,heterogeneo,DLB,96.138,1.358,40.650,34.982,19.145,33359,1762,52.87,Can MVDR beamforming sufficiently compensate for pattern degradation in array-fed reflectors during 
32,2,8B,heterogeneo,PNM,115.544,1.368,43.174,46.765,24.239,35898,2349,52.87,What feed element spacing balance minimizes dB loss while maintaining beamforming flexibility in def
33,2,8B,heterogeneo,PNM,116.396,1.344,42.652,46.207,26.194,35410,2302,53.05,How do GEO vs LEO satellite orbits affect latency and coverage in hybrid networks for rural substati
34,2,8B,heterogeneo,DLB,118.929,1.352,48.405,45.363,23.806,39716,2275,52.40,What antenna design considerations minimize signal attenuation in high-noise power line environments
35,2,8B,heterogeneo,PNM,125.001,1.352,41.860,51.855,29.934,34264,2573,53.96,How can frequency planning address interference between satellite uplinks and broadband power line c
36,2,8B,heterogeneo,PNM,142.256,1.355,58.070,54.425,28.411,46114,2769,53.25,What link budget trade-offs exist when balancing data rate and reliability in adverse weather for sa
37,2,8B,heterogeneo,DLB,118.741,1.354,46.651,46.138,24.599,38370,2275,51.88,How does adaptive modulation impact power margins in satellite transponders for fluctuating rural su
38,2,8B,heterogeneo,PNM,99.123,1.336,37.217,40.481,20.089,31412,2026,51.26,What beam allocation strategies optimize spectrum efficiency in hybrid satellite-WiMAX networks duri
39,2,8B,heterogeneo,PNM,126.007,1.351,54.513,45.233,24.910,43455,2283,55.92,How do MPLS and IPsec VPNs differ in mitigating congestion for real-time QoS in multi-telectric util
40,2,8B,heterogeneo,DLB,143.327,1.368,52.779,58.380,30.801,42693,2936,52.35,How does the hybrid SIW-waveguide feeding topology balance efficiency and compactness in V-band sate
41,2,8B,heterogeneo,DLB,102.156,1.350,42.912,38.198,19.694,35004,1876,51.72,What trade-offs exist between array size and radiation efficiency for SIW arrays in high-gain inter-
42,2,8B,heterogeneo,PNM,86.215,1.342,37.227,30.807,16.838,30928,1560,54.58,How does the 41% efficiency of the proposed antenna impact link budget calculations for GEO-LEO sate
43,2,8B,heterogeneo,PNM,126.711,1.344,46.758,53.342,25.261,38013,2666,53.95,What orbital configurations justify prioritizing V-band (57-66 GHz) over optical systems for inter-s
44,2,8B,heterogeneo,DLB,131.669,1.368,48.306,54.342,27.653,39327,2722,52.12,How does the 14.6% bandwidth affect frequency planning for multi-satellite networks with adjacent ch
45,2,8B,heterogeneo,DLB,117.131,1.340,42.940,47.532,25.317,35432,2382,52.54,Could the hybrid feeding structure introduce scalability challenges in dynamic payload power allocat
46,2,8B,heterogeneo,DLB,105.847,1.378,38.948,42.273,23.246,32666,2110,51.83,What beam management strategies are needed to mitigate efficiency fluctuations (>3 dB gain variance)
47,2,8B,heterogeneo,PNM,154.003,1.356,58.743,62.824,31.080,46671,3193,52.69,How can satellite link budgets be optimized for high throughput and low latency in global aeronautic
48,2,8B,heterogeneo,DLB,104.395,1.366,36.477,45.256,21.295,30714,2277,51.81,What antenna designs balance aerodynamic constraints with MIMO requirements for high-speed aircraft 
49,2,8B,heterogeneo,PNM,149.831,1.319,51.988,66.392,30.133,41997,3356,51.46,How does L-DACS integration impact spectrum sharing between A2G and satellite links in congested air
50,2,8B,heterogeneo,PNM,104.020,1.357,37.639,42.771,22.251,31448,2127,52.02,What beamforming strategies ensure consistent LOS connectivity for A2A links in dynamically changing
